Lux,Timestamp
27.73,2025-06-11 20:34:54
25.03,2025-06-11 20:39:56
25.58,2025-06-11 21:05:07
2.77,2025-06-11 21:40:35
2.77,2025-06-11 21:45:38
2.77,2025-06-11 21:55:43
2.76,2025-06-11 22:00:45
2.96,2025-06-11 22:05:47
25.54,2025-06-11 21:30:31
25.51,2025-06-11 21:15:11
25.53,2025-06-11 21:10:09
25.58,2025-06-11 21:20:13
0.03,2025-06-11 21:35:33
0.02,2025-06-10 23:30:00
0.02,2025-06-10 23:35:00
0.02,2025-06-10 23:40:01
0.02,2025-06-10 23:45:03
0.02,2025-06-10 23:50:06
0.02,2025-06-10 23:55:08
0.02,2025-06-11 00:10:15
0.02,2025-06-11 00:15:17
0.03,2025-06-11 00:20:19
0.03,2025-06-11 00:25:21
0.02,2025-06-11 00:30:24
0.02,2025-06-11 00:35:26
0.03,2025-06-11 00:40:28
0.03,2025-06-11 00:45:31
0.02,2025-06-11 00:50:33
0.02,2025-06-11 00:55:35
0.02,2025-06-11 01:00:38
0.02,2025-06-11 01:05:40
0.02,2025-06-11 01:10:42
0.02,2025-06-11 01:15:45
0.02,2025-06-11 01:20:47
0.02,2025-06-11 01:25:49
0.02,2025-06-11 01:30:51
0.02,2025-06-11 01:35:54
0.02,2025-06-11 01:40:56
0.02,2025-06-11 01:45:58
0.02,2025-06-11 01:51:00
0.02,2025-06-11 01:56:02
0.02,2025-06-11 02:01:05
0.02,2025-06-11 02:11:09
0.02,2025-06-11 02:16:11
0.02,2025-06-11 02:21:14
0.02,2025-06-11 02:26:16
0.02,2025-06-11 02:31:18
0.02,2025-06-11 02:41:23
0.02,2025-06-11 02:46:25
0.02,2025-06-11 03:01:32
0.02,2025-06-11 03:06:34
0.02,2025-06-11 03:21:40
0.02,2025-06-11 03:36:47
0.02,2025-06-11 03:41:50
0.02,2025-06-11 03:46:52
0.02,2025-06-11 03:51:54
0.02,2025-06-11 03:56:56
0.02,2025-06-11 04:01:59
0.03,2025-06-11 04:12:03
0.04,2025-06-11 04:17:06
0.17,2025-06-11 04:27:10
0.31,2025-06-11 04:32:12
0.67,2025-06-11 04:37:14
1.75,2025-06-11 04:42:16
3.08,2025-06-11 04:47:18
8.4,2025-06-11 04:52:21
15.93,2025-06-11 04:57:23
17.3,2025-06-11 05:02:25
32.09,2025-06-11 05:12:29
82.04,2025-06-11 05:22:33
114.4,2025-06-11 05:27:36
127.84,2025-06-11 05:32:38
137.0,2025-06-11 05:37:41
157.88,2025-06-11 05:42:43
172.72,2025-06-11 05:47:46
207.68,2025-06-11 05:52:48
258.8,2025-06-11 05:57:50
377.6,2025-06-11 06:02:52
773.76,2025-06-11 06:17:59
839.68,2025-06-11 06:23:01
704.32,2025-06-11 06:28:03
889.28,2025-06-11 06:33:05
728.96,2025-06-11 06:38:08
739.2,2025-06-11 06:43:10
